Graph,True,CDC,MachineL,Autocorrelation,Trend,Variability,PointsA,PointsB,EffectSize,Expert,Decision
87,1,0,0,0.2,30,0.1,5,10,1,E,0
88,1,1,1,0,0,0.25,3,5,5,A,1
88,1,1,1,0,0,0.25,3,5,5,B,0
88,1,1,1,0,0,0.25,3,5,5,C,1
88,1,1,1,0,0,0.25,3,5,5,D,1
88,1,1,1,0,0,0.25,3,5,5,E,1
89,1,0,0,0,30,0.1,3,10,2,A,1
89,1,0,0,0,30,0.1,3,10,2,B,0
89,1,0,0,0,30,0.1,3,10,2,C,0
89,1,0,0,0,30,0.1,3,10,2,D,0
89,1,0,0,0,30,0.1,3,10,2,E,0
90,0,0,0,0.2,0,0.25,3,5,0,A,0
90,0,0,0,0.2,0,0.25,3,5,0,B,0
90,0,0,0,0.2,0,0.25,3,5,0,C,0
90,0,0,0,0.2,0,0.25,3,5,0,D,0
90,0,0,0,0.2,0,0.25,3,5,0,E,0
91,1,0,1,0.2,30,0.25,5,5,1,A,1
91,1,0,1,0.2,30,0.25,5,5,1,B,0
91,1,0,1,0.2,30,0.25,5,5,1,C,0
91,1,0,1,0.2,30,0.25,5,5,1,D,1
91,1,0,1,0.2,30,0.25,5,5,1,E,1
92,0,0,0,0.2,0,0.1,3,5,0,A,0
92,0,0,0,0.2,0,0.1,3,5,0,B,0
92,0,0,0,0.2,0,0.1,3,5,0,C,0
92,0,0,0,0.2,0,0.1,3,5,0,D,0
92,0,0,0,0.2,0,0.1,3,5,0,E,0
93,1,0,1,0.2,0,0.1,5,5,2,A,0
93,1,0,1,0.2,0,0.1,5,5,2,B,0
93,1,0,1,0.2,0,0.1,5,5,2,C,0
93,1,0,1,0.2,0,0.1,5,5,2,D,0
93,1,0,1,0.2,0,0.1,5,5,2,E,0
94,1,1,1,0.2,30,0.25,5,10,3,A,1
94,1,1,1,0.2,30,0.25,5,10,3,B,1
94,1,1,1,0.2,30,0.25,5,10,3,C,1
94,1,1,1,0.2,30,0.25,5,10,3,D,1
94,1,1,1,0.2,30,0.25,5,10,3,E,1
95,1,1,1,0.2,0,0.1,5,5,1,A,1
95,1,1,1,0.2,0,0.1,5,5,1,B,0
95,1,1,1,0.2,0,0.1,5,5,1,C,0
95,1,1,1,0.2,0,0.1,5,5,1,D,0
95,1,1,1,0.2,0,0.1,5,5,1,E,1
96,1,1,1,0,30,0.1,3,5,5,A,1
96,1,1,1,0,30,0.1,3,5,5,B,1
96,1,1,1,0,30,0.1,3,5,5,C,1
96,1,1,1,0,30,0.1,3,5,5,D,1
96,1,1,1,0,30,0.1,3,5,5,E,1
97,1,1,1,0,0,0.25,3,10,3,A,1
97,1,1,1,0,0,0.25,3,10,3,B,1
97,1,1,1,0,0,0.25,3,10,3,C,1
97,1,1,1,0,0,0.25,3,10,3,D,1
97,1,1,1,0,0,0.25,3,10,3,E,1
98,1,0,1,0,0,0.1,5,5,4,A,1
98,1,0,1,0,0,0.1,5,5,4,B,0
98,1,0,1,0,0,0.1,5,5,4,C,1
98,1,0,1,0,0,0.1,5,5,4,D,1
98,1,0,1,0,0,0.1,5,5,4,E,0
99,1,1,0,0.2,30,0.25,5,10,1,A,1
99,1,1,0,0.2,30,0.25,5,10,1,B,0
99,1,1,0,0.2,30,0.25,5,10,1,C,0
99,1,1,0,0.2,30,0.25,5,10,1,D,0
99,1,1,0,0.2,30,0.25,5,10,1,E,0
100,1,1,1,0.2,30,0.25,3,10,3,A,1
100,1,1,1,0.2,30,0.25,3,10,3,B,0
100,1,1,1,0.2,30,0.25,3,10,3,C,0
100,1,1,1,0.2,30,0.25,3,10,3,D,0
