Graph, True,ExpertA,ExpertB,ExpertC,ExpertD,ExpertE,CDC,MachineL,Autocorrelation,Trend,Variability,PointsA,PointsB,EffectSize
394,0,1,0,0,1,0,0,0,0.2,30,0.25,3,5,0
395,1,1,0,0,1,0,0,1,0.2,0,0.1,3,5,4
396,1,1,0,1,1,1,1,1,0.2,0,0.1,5,5,4
397,0,1,0,0,0,0,0,0,0.2,30,0.25,5,10,0
398,1,1,1,1,1,1,1,1,0.2,30,0.25,3,10,5
399,0,1,0,0,0,0,0,0,0,30,0.1,3,5,0
400,0,1,0,0,1,1,0,0,0.2,30,0.25,5,5,0
401,1,1,1,0,1,0,1,0,0.2,30,0.25,3,10,1
402,1,1,0,0,0,0,0,1,0.2,0,0.1,5,10,3
403,1,1,0,0,0,0,0,1,0.2,0,0.25,5,10,2
404,1,1,1,1,1,1,1,1,0,30,0.25,3,10,5
405,1,0,0,0,0,0,0,0,0,0,0.1,3,5,1
406,1,0,1,1,1,1,1,1,0,0,0.25,5,10,3
407,1,0,0,0,0,1,1,1,0.2,0,0.1,3,10,2
408,1,1,0,0,0,0,0,1,0.2,0,0.1,5,10,3
409,0,1,0,0,1,0,1,0,0,30,0.1,5,10,0
410,1,1,1,1,1,0,1,1,0.2,30,0.25,3,5,5
411,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
412,0,1,0,0,0,1,1,0,0,30,0.1,5,10,0
413,1,0,0,0,0,0,1,0,0.2,0,0.1,5,10,2
414,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
